instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,Unnamed: 30,Unnamed: 31,Unnamed: 32,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿sav.ga.0010,﻿station,﻿Purification of the B.V.M.,English,﻿and the adjoining counties,,,﻿Wilkes County,﻿Henry County,﻿Washington,﻿Locust Grove,﻿GA,,33.542523,-82.776687,﻿sav.ga.0010,﻿visited from Locust Grove,,,,,,,,,,,,1840,,,,﻿,﻿,﻿Charleston,Charleston
﻿sav.ga.9001,﻿station,[Unnamed Institution],English,,,,﻿Jefferson County,,﻿Louisville,,﻿GA,,,,﻿sav.ga.0010,﻿visited from Locust Grove,,,,,,,,,,,,1840,,,,﻿,﻿,﻿Charleston,Charleston
﻿sav.ga.9001,﻿station,[Unnamed Institution],English,﻿and one or two sections of the Georgia rail road,,,﻿Jefferson County,,﻿Louisville,,﻿GA,,,,﻿sav.ga.0010,﻿visited from Locust Grove,,,,,,,,,,,,1840,,,,﻿,﻿,﻿Charleston,Charleston
﻿sav.ga.0006,﻿church,﻿SS. Philip and James,English,,,,,,﻿Columbus,﻿Columbus,﻿GA,,32.460976,-84.987709,,,,﻿jam_graham_901,﻿Rev.,﻿James Graham,,﻿Pastor,,,,,,1840,,,,﻿,﻿,﻿Charleston,Charleston
﻿sav.ga.0004,﻿church,[Unnamed Institution],English,,,,,,﻿Macon,﻿Macon,﻿GA,,32.840695,-83.632402,﻿sav.ga.0006,﻿attended from Columbus,﻿attended five or six times in the year from this church,,,,,,,,,,,1840,,,,﻿,﻿,﻿Charleston,Charleston
﻿sav.ga.0004,﻿church,[Unnamed Institution],English,,﻿Cherokee District,﻿Western counties,,,﻿Macon,﻿Macon,﻿GA,,32.840695,-83.632402,,,,﻿gre_duggan_001,﻿Rev.,﻿Gregory Duggan,,﻿Missionary,"﻿attends the various sections, and other stations as most convenient",,,,,1840,,,,﻿,﻿,﻿Charleston,Charleston
﻿cha.sc.9000,﻿seminary,﻿Seminary of St. John the Baptist,English,"﻿in which the small number of candidates necessary to sustain the missions of the Diocess, are educated",,,,﻿Charleston County,﻿Charleston,﻿Charleston,﻿SC,﻿SC,32.784247,-79.936828,,,,﻿ric_s_baker_001,﻿Rev.,﻿Richard S. Baker,,,,﻿student,﻿2 students,,,1840,﻿https://en.wikipedia.org/wiki/Charleston_Female_Seminary ; https://discovering.charleston.edu/files/show/107,"﻿Classics, Mathematics, Arithmetic, English, &c.",,﻿,﻿,﻿Charleston,Charleston
﻿cha.sc.9000,﻿seminary,﻿Seminary of St. John the Baptist,English,"﻿in which the small number of candidates necessary to sustain the missions of the Diocess, are educated",,,,﻿Charleston County,﻿Charleston,﻿Charleston,﻿SC,,32.784247,-79.936828,,,,,,,,,,﻿student,﻿2 students,,,1840,,,,﻿,﻿,﻿Charleston,Charleston
﻿cha.sc.9000,﻿seminary,﻿Seminary of St. John the Baptist,English,"﻿in which the small number of candidates necessary to sustain the missions of the Diocess, are educated",,,,﻿Charleston County,﻿Charleston,﻿Charleston,﻿SC,,32.784247,-79.936828,,,,,,,,,,﻿student,﻿2 students,,,1840,,,,﻿,﻿,﻿Charleston,Charleston
﻿cha.sc.9020,﻿asylum,﻿Asylum for Aged and Infirm Clergymen,English,,,,,,﻿Charleston,,﻿SC,,,,,,,,,,,,,,,,,1840,,,,﻿,﻿,﻿Charleston,Charleston
﻿cha.sc.9018,﻿school,﻿Day School,English,﻿for boys,,,,﻿Charleston County,﻿Charleston,﻿Charleston,﻿SC,﻿SC,,,,,,﻿mic_magrath_901,﻿Rev.,﻿Michael Magrath,,﻿Pincipal,,,,,,1840,,,,﻿,﻿,﻿Charleston,Charleston
﻿sav.ga.9005,﻿school,﻿Day School,English,﻿for boys,,,,,﻿Augusta,,﻿GA,,,,,,,,,,,,,,,,,1840,,,,﻿,﻿,﻿Charleston,Charleston
﻿cha.sc.0038,﻿convent,[Unnamed Institution],English,,,,,﻿Charleston County,﻿Charleston,﻿Charleston,﻿SC,﻿SC,,,,,,﻿aloysius_mckenna_sav.ga_901,﻿Sister,﻿Aloysius McKenna,,﻿Superioress,,﻿Sisters,﻿14 Sisters,﻿conducted by the Sisters of Our Lady of Mercy,,1840,,,,﻿,﻿,﻿Charleston,Charleston
