instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID_cor,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,attendingPersID,attendingChurchNote,persID,diocese,diocese_reg
﻿cle.oh.0317,﻿church,﻿St. Peter's,English,,,,,﻿Erie County,﻿Sandusky City,﻿Snadusky,﻿OH,,41.452222,-82.708889,,,,﻿cha_hamene_001,﻿Rev.,﻿A. Hamène,,,,,,,,1859,﻿,﻿,﻿,﻿Cleveland,Cleveland
﻿cle.oh.0147,﻿church,[Unnamed Institution],English,﻿chuch not dedicated,,,﻿Richville County,﻿Richland County,﻿Shelby,﻿Bethlehem,﻿OH,,40.756672,-82.518584,,,,﻿j_ringele_002,﻿Rev.,﻿J. Ringele,,,﻿who visits once a month the church of Gallion and Cressline,,,,,1859,﻿,﻿,﻿,﻿Cleveland,Cleveland
﻿cle.oh.0155,﻿church,﻿St. John's,English,,,,﻿Columbiana County,﻿Columbiana County,﻿Summitville,﻿Summitville,﻿OH,,40.678117,-80.886196,,,,﻿m_pendergast_001,﻿Rev.,﻿M. Pendergast,,,"﻿who also attends Youngstown, Mahoning Co.",,,,,1859,﻿,﻿,﻿,﻿Cleveland,Cleveland
﻿cle.oh.0159,﻿church,﻿St. Joseph's,English,﻿German,,,﻿Seneca County,﻿Seneca County,﻿Tiffin,﻿Tiffin,﻿OH,,41.108735,-83.175299,,,,﻿bean_001,﻿Rev. Mr.,﻿Bean,,,"﻿who visits the chapel of Findley once a month, and St. Sebastian at Liberty",,,,,1859,﻿,﻿,﻿,﻿Cleveland,Cleveland
﻿cle.oh.0158,﻿church,﻿English Church,English,﻿not dedicated,,,﻿Seneca County,﻿Seneca County,﻿Tiffin,﻿Tiffin,﻿OH,,41.117257,-83.183866,,,,﻿mic_sullivan_003,﻿Rev.,﻿Michael Sullivan,,,﻿who also attends Findley,,,,,1859,﻿,﻿,﻿,﻿Cleveland,Cleveland
﻿cle.oh.0162,﻿church,﻿St. Francis of Sales,English,,,,﻿Lucas County,﻿Lucas County,﻿Toledo,﻿Toledo,﻿OH,,41.662799,-83.598385,,,,﻿n_oconnor_001,﻿Rev.,﻿N. O'Connor,,,,,,,,1859,﻿,﻿,﻿,﻿Cleveland,Cleveland
﻿cle.oh.0162,﻿church,﻿St. Francis of Sales,English,,,,﻿Lucas County,﻿Lucas County,﻿Toledo,﻿Toledo,﻿OH,,41.662799,-83.598385,,,,﻿r_sidley_001,﻿Rev.,﻿R. Sidley,,,﻿who also attends Texas,,,,,1859,﻿,﻿,﻿,﻿Cleveland,Cleveland
﻿cle.oh.0300,﻿church,﻿German and French Church,English,﻿not dedicated,,,﻿Lucas County,﻿Lucas County,﻿Toledo,﻿Toledo,﻿OH,,41.373889,-83.650833,,,,﻿cha_evrard_001,﻿Rev.,﻿Charles Evrard,,,,,,,,1859,﻿,﻿,﻿,﻿Cleveland,Cleveland
﻿cle.oh.0160,﻿church,﻿St. Michael's,English,,,,﻿Seneca County,﻿Seneca County,﻿Thomson,﻿Thompson Township,﻿OH,,41.201642,-82.885596,,,,﻿ant_kramer_002,﻿Rev.,﻿Anthony Kramer,﻿C.PP.S.,,,,,,,1859,﻿,﻿,﻿,﻿Cleveland,Cleveland
﻿cle.oh.0160,﻿church,﻿St. Michael's,English,,,,﻿Seneca County,﻿Seneca County,﻿Thomson,﻿Thompson Township,﻿OH,,41.201642,-82.885596,,,,﻿r_shuely_001,﻿Rev.,﻿R. Shuely,﻿C.PP.S.,,,,,,,1859,﻿,﻿,﻿,﻿Cleveland,Cleveland
﻿cle.oh.0160,﻿church,﻿St. Michael's,English,,,,﻿Seneca County,﻿Seneca County,﻿Thomson,﻿Thompson Township,﻿OH,,41.201642,-82.885596,,,,﻿v_hausner_001,﻿Rev.,﻿V. Hausner,﻿C.PP.S.,,"﻿who visits St. Sebastian, St. Mauritius near Utica, and New Washington, Crawford Co.",,,,,1859,﻿,﻿,﻿,﻿Cleveland,Cleveland
﻿cle.oh.0319,﻿church,﻿St. Boniface,English,,,,﻿Seneca County,,﻿Wolf's Creek,,﻿OH,,,,,,,﻿aug_reichert_001,﻿Rev.,﻿A. Reichert,﻿C.PP.S.,,,,,,,1859,﻿,﻿,﻿,﻿Cleveland,Cleveland
﻿cle.oh.0319,﻿church,﻿St. Boniface,English,,,,﻿Seneca County,,﻿Wolf's Creek,,﻿OH,,,,,,,﻿n_g_n gales _001,﻿Rev.,﻿N. Gales,﻿C.PP.S.,,﻿who attend Rome and Upper Sandusky,,,,,1859,﻿,﻿,﻿,﻿Cleveland,Cleveland
﻿cle.oh.0181,﻿church,[Unnamed Institution],English,,,,﻿Wayne County,﻿Wayne County,﻿Wooster,﻿Wooster,﻿OH,,40.798237,-81.939914,,,,﻿m_oneil_002,﻿Rev.,﻿Michael O'Neil,,,﻿who attends Mansfield,,,,,1859,﻿,﻿,﻿,﻿Cleveland,Cleveland
﻿cle.oh.0183,﻿seminary,﻿St. Mary's Ecclesiastical Seminary,English,,,,,,﻿Cleveland,﻿Cleveland,﻿OH,,41.503018,-81.691627,,,,﻿a_caron_001,﻿Rev.,﻿A. Caron,,﻿Superior,,,,,,1859,﻿,﻿,﻿,﻿Cleveland,Cleveland
﻿cle.oh.0183,﻿seminary,﻿St. Mary's Ecclesiastical Seminary,English,,,,,,﻿Cleveland,﻿Cleveland,﻿OH,,41.503018,-81.691627,,,,﻿f_salaun_001,﻿Rev.,﻿L. Salaen,,,,,,,,1859,﻿,﻿,﻿,﻿Cleveland,Cleveland
﻿cle.oh.0183,﻿seminary,﻿St. Mary's Ecclesiastical Seminary,English,,,,,,﻿Cleveland,﻿Cleveland,﻿OH,,41.503018,-81.691627,,,,﻿a_martin_001,﻿Rev.,﻿L. Martin,,,,,,,,1859,﻿,﻿,﻿,﻿Cleveland,Cleveland
﻿cle.oh.0183,﻿seminary,﻿St. Mary's Ecclesiastical Seminary,English,,,,,,﻿Cleveland,﻿Cleveland,﻿OH,,41.503018,-81.691627,,,,﻿f_boff_001,﻿Rev.,﻿F. Boff,,,,,,,,1859,﻿,﻿,﻿,﻿Cleveland,Cleveland
﻿cle.oh.0160_02,﻿community,﻿Congregation Pretiosissimi Sanguinis,English,,,,,,﻿Thomson,,﻿OH,,41.201642,-82.885596,,,,﻿ant_kramer_002,﻿Rev.,﻿Anthony Kramer,﻿C.PP.S.,,,,,,,1859,﻿,﻿,﻿,﻿Cleveland,Cleveland
