instID,placeName,orig,reg,sic,corr,city,Cleaned city name,state,Address,Latitude,Longitude,year,church_type,instName,language,instNote,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingPersID,attendingChurch,attendingChurchFrequency,attendingChurchNote,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,diocese,diocese_reg
﻿St. Patrick's,,,,,,﻿Nantucket,﻿Nantucket,﻿MA,"﻿, , Nantucket, MA",41.28394,-70.0999891,1870,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,Boston
﻿St. Patrick's,,,,,,﻿Natick,﻿Natick,﻿MA,"﻿St. Patrick's, , Natick, MA",42.2847975,-71.3439518,1870,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,Boston
﻿St. Patrick's,,,,,,﻿Needham,﻿Needham,﻿MA,"﻿, , Needham, MA",42.2809285,-71.2377548,1870,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,Boston
﻿St. Mary's,﻿(new church building),,,,,﻿New Bedford,﻿New Bedford,﻿MA,"﻿St. Mary's, (new church building), New Bedford, MA",41.6362152,-70.934205,1870,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,Boston
﻿St. Mary's,﻿(new church building),,,,,﻿West Newbury,﻿West Newbury,﻿MA,"﻿, , West Newbury, MA",42.8014795,-70.989778,1870,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,Boston
﻿St. Mary's,﻿(new church building),,,,,﻿Newburyport,﻿Newburyport,﻿MA,"﻿St. Mary's, , Newburyport, MA",42.8220853,-70.9084099,1870,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,Boston
﻿St. Mary's,﻿(new church building),,,,,﻿Newton Upper Falls,﻿Newton Upper Falls,﻿MA,"﻿St. Mary's, , Newton Upper Falls, MA",42.3123388,-71.220856,1870,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,Boston
﻿St. Mary's,﻿(new church building),,,,,﻿West Newton,﻿West Newton,﻿MA,"﻿, , West Newton, MA",42.3497948,-71.2250533,1870,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,Boston
﻿St. Mary's,﻿(new church building),,,,,﻿Northampton,﻿Northampton,﻿MA,"﻿St. Mary's, , Northampton, MA",42.3373356,-72.6521968,1870,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,Boston
﻿St. Mary's,﻿(new church building),,,,,﻿Norton,﻿Norton,﻿MA,"﻿, , Norton, MA",41.9667703,-71.1869963,1870,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,Boston
﻿St. Mary's,﻿(new church building),,,,,﻿Otter River,﻿Otter River,﻿MA,"﻿, , Otter River, MA",42.6127433,-72.06903554,1870,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,Boston
﻿St. Roch's,,,,,,﻿Oxford,﻿Oxford,﻿MA,"﻿St. Roch's, , Oxford, MA",42.1186863,-71.8641226,1870,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,Boston
﻿St. Roch's,,,,,,﻿Palmer,﻿Palmer,﻿MA,"﻿, , Palmer, MA",42.1584103,-72.3286869,1870,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,Boston
﻿St. Roch's,,,,,,﻿Peabody,﻿Peabody,﻿MA,"﻿, , Peabody, MA",42.5278731,-70.9286609,1870,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,Boston
﻿St. Roch's,,,,,,﻿Pembroke,﻿Pembroke,﻿MA,"﻿, , Pembroke, MA",42.0714925,-70.8092,1870,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,Boston
﻿St. Joseph's,﻿Boston Highlands,,,,,﻿Pittsfield,﻿Pittsfield,﻿MA,"﻿St. Joseph's, , Pittsfield, MA",42.4545161,-73.2508765,1870,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,Boston
