instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿bal.md.0072,﻿church,﻿St. Joseph's,English,,﻿Carrollton Manor,,,﻿Frederick County,,﻿Frederick,﻿MD,﻿MD,,,﻿bal.md.0070,﻿attended from Fred'k,,,,,,,,,,,,1843,﻿https://stjoesbuckeystown.org/history-of-st-joseph-on-carrollton-manor/,,,,﻿,﻿,﻿Baltimore,Baltimore
﻿bal.md.0076,﻿church,﻿St. Mary's,English,,﻿Merryland Tract,,,﻿Frederick County,,﻿Petersville,﻿MD,﻿MD,,,﻿bal.md.0070,﻿attended from Fred'k,,,,,,,,,,,,1843,,,,,﻿,﻿,﻿Baltimore,Baltimore
﻿bal.md.9028,﻿church,[Unnamed Institution],English,,﻿Middletown Valley,,,﻿Frederick County,,,﻿MD,﻿MD,,,﻿bal.md.0070,﻿attended from Fred'k,,,,,,,,,,,,1843,,,,,﻿,﻿,﻿Baltimore,Baltimore
﻿bal.md.9029,﻿church,[Unnamed Institution],English,,﻿Jamison's,,,,,,﻿MD,﻿MD,,,﻿bal.md.0070,﻿attended from Fred'k,,,,,,,,,,,,1843,,,,,﻿,﻿,﻿Baltimore,Baltimore
﻿bal.md.0104,﻿church,[Unnamed Institution],English,,,,﻿Prince George County,﻿Prince George County,﻿Marlborough,﻿Upper Marlboro,﻿MD,﻿MD,,,,,,,﻿Rev.,﻿M. Sanders,,,,,,,,1843,﻿https://stmaryumchurch.org/about-us/,,,,﻿,﻿,﻿Baltimore,Baltimore
﻿bal.md.0074,﻿church,﻿Mountain Church,English,,﻿near Emmitsburg,,,﻿Frederick County,,﻿Emmitsburg,﻿MD,﻿MD,,,,,,,﻿Rev.,﻿George Flaut,,,﻿dwelling at the College,,,,,1843,"﻿Fairly certain, since MSM was founded in 1808, that this entry refers to the chapel that was set up at the same time as the seminary: https://seminary.msmary.edu/about/history.html",,,,﻿,﻿,﻿Baltimore,Baltimore
﻿bal.md.0098,﻿church,[Unnamed Institution],English,,,,﻿St Mary's County,﻿St Mary's County,﻿Newtown,﻿Leonardtown,﻿MD,﻿MD,,,,,,,﻿Rev. Mr.,﻿Enders,﻿S. J.,,,,,,,1843,﻿https://www.stfrancisxavierchurch.org/history ; https://stillwespeak.org/places/newtown-md/,,,,﻿,﻿,﻿Baltimore,Baltimore
﻿bal.md.0098,﻿church,[Unnamed Institution],English,,,,﻿St Mary's County,﻿St Mary's County,﻿Newtown,﻿Leonardtown,﻿MD,,,,,,,,﻿Rev.,﻿R. Woodley,﻿S. J.,,,,,,,1843,,,,,﻿,﻿,﻿Baltimore,Baltimore
﻿bal.md.9033,﻿church,[Unnamed Institution],English,,,,﻿Alleghany County,,﻿Oldtown,,,,,,,,﻿4th Sun.,,﻿Rev.,﻿L. Obermeyer,,,﻿of Cumberland,,,,,1843,,,,,﻿,﻿,﻿Baltimore,Baltimore
﻿bal.md.0103,﻿church,[Unnamed Institution],English,,﻿Piscataway,,﻿Prince George's County,,,,﻿MD,,,,,,,,,,,,,,,,,1843,,,,,﻿,﻿,﻿Baltimore,Baltimore
﻿bal.md.9032,﻿church,[Unnamed Institution],English,,﻿Pinewood Settlement,,,,,,﻿MD,,,,﻿bal.md.0026,﻿from Cumberland,﻿occasionally,,,,,,,,,,,1843,,,,,﻿,﻿,﻿Baltimore,Baltimore
﻿wil.de.0018,﻿church,﻿St. Peter's,English,,,﻿E. S.,﻿Queene Anne's County,﻿Queene Anne's County,,﻿Queenstown,﻿MD,﻿MD,,,,,﻿4th Sunday,,﻿Rev.,﻿G. King,,,,,,,,1843,"﻿https://en.wikipedia.org/wiki/St._Peter%27s_Church_(Queenstown,_Maryland) ; https://sorrowsparish.org/about-our-churches",,,,﻿,﻿,﻿Baltimore,Baltimore
﻿bal.md.9003,﻿church,[Unnamed Institution],English,,,,﻿Montgomery County,,﻿Rock Creek,﻿Washington,﻿MD,﻿DC,,,,,,,﻿Rev.,﻿M. Gallagher,,,,,,,,1843,﻿https://www.nps.gov/rocr/index.htm ; https://www.washingtonian.com/2025/03/12/meet-the-man-who-runs-rock-creek-park/ ; Dw. at Barnsville,,,,﻿,﻿,﻿Baltimore,Baltimore
﻿bal.md.0088,﻿church,[Unnamed Institution],English,,,,﻿Montgomery County,﻿Montgomery County,﻿Rockville,﻿Rockville,﻿MD,﻿MD,,,,,,,﻿Rev.,﻿M. Gallagher,,,,,,,,1843,﻿https://stmarysrockville.org/our-ladys-chapel-tour,,,,﻿,﻿,﻿Baltimore,Baltimore
﻿wil.de.0016,﻿church,﻿St. Joseph's,English,"﻿Post Office, Wye Mills",,﻿E. S.,﻿Talbot County,﻿Talbot County,﻿Easton,﻿Cordova,﻿MD,﻿MD,,,,,"﻿1st, 4th and 5th Sundays, and all festivals",,﻿Rev.,﻿Jas. Lucas,﻿S. J.,,,,,,,1843,﻿https://ssppparisheaston.org/churches/saint-joseph-cordova/,,,,﻿,﻿,﻿Baltimore,Baltimore
﻿bal.md.0102,﻿church,﻿Sacred Heart Church,English,,,,﻿St. Mary's County,﻿St. Mary's County,,,﻿MD,﻿MD,,,﻿bal.md.0098,﻿attended from Newtown,﻿occasionally,,,,,,,,,,,1843,﻿maybe this one?: https://sacredheartbushwood.org/parish-history,,,,﻿,﻿,﻿Baltimore,Baltimore
﻿bal.md.0097,﻿church,﻿St. Aloysius,English,,﻿near Leonardtown,,﻿St. Mary's County,﻿St. Mary's County,﻿Leonardtown,﻿Leonardtown,﻿MD,﻿MD,,,﻿bal.md.0098,﻿attended from Newtown,﻿occasionally,,,,,,,,,,,1843,﻿https://www.saintaloysiuschurch.org/,,,,﻿,﻿,﻿Baltimore,Baltimore
﻿bal.md.0100,﻿church,﻿St. John's,English,,,,﻿St. Mary's County,﻿St. Mary's County,,﻿Hollywood,﻿MD,﻿MD,,,﻿bal.md.0098,﻿attended from Newtown,﻿occasionally,,,,,,,,,,,1843,﻿https://www.stjohnsparishhollywood.org/our-parish,,,,﻿,﻿,﻿Baltimore,Baltimore
﻿bal.md.0101,﻿church,﻿St. Joseph's,English,,,,﻿St. Mary's County,﻿St. Mary's County,,﻿Morganza,﻿MD,﻿MD,,,﻿bal.md.0098,﻿attended from Newtown,﻿occasionally,,,,,,,,,,,1843,﻿https://www.stjosephmorganza.org/,,,,﻿,﻿,﻿Baltimore,Baltimore
﻿bal.md.0093,﻿church,[Unnamed Institution],English,,,,﻿St. Mary's County,﻿St. Mary's County,﻿St. Inigoes,﻿St. Inigoes,﻿MD,﻿MD,,,,,,,﻿Rev.,﻿Joseph Carbery,﻿S. J.,,,,,,,1843,"﻿https://en.wikipedia.org/wiki/St._Ignatius_Roman_Catholic_Church_(St._Inigoes,_Maryland) ;  https://historicstignatius.com/",,,,﻿,﻿,﻿Baltimore,Baltimore
﻿bal.md.0094,﻿church,﻿St. Nicholas,English,,,,﻿St. Mary's County,﻿St. Mary's County,,﻿Lexington Park,﻿MD,﻿MD,,,,,,,﻿Rev.,﻿Joseph Carbery,﻿S. J.,,,,,,,1843,﻿https://www.hmdb.org/m.asp?m=999,,,,﻿,﻿,﻿Baltimore,Baltimore
﻿bal.md.0069,"﻿church, consecrated life institution",﻿St. Thomas' Manor,English,"﻿Post-town, Port Tobacco",,,﻿Charles County,﻿Charles County,,﻿Port Tobacco,﻿MD,﻿MD,,,,,,,﻿Rev.,﻿Aloysius Mudd,﻿S. J.,,,,,,,1843,﻿https://en.wikipedia.org/wiki/St._Thomas_Manor ; https://www.chapelpoint.org/,,,,﻿,﻿,﻿Baltimore,Baltimore
﻿bal.md.0069,"﻿church, consecrated life institution",﻿St. Thomas' Manor,English,"﻿Post-town, Port Tobacco",,,﻿Charles County,﻿Charles County,,﻿Port Tobacco,﻿MD,,,,,,,,﻿Rev.,﻿J. Moore,﻿S. J.,,,,,,,1843,,,,,﻿,﻿,﻿Baltimore,Baltimore
﻿bal.md.0067,﻿church,[Unnamed Institution],English,,,,﻿Charles County,﻿Charles County,﻿Newport,﻿Newport,﻿MD,﻿MD,,,,,,,﻿Rev.,﻿J. Moore,﻿S. J.,,,,,,,1843,﻿https://stmarychurchnewport.org/history-of-parish,,,,﻿,﻿,﻿Baltimore,Baltimore
﻿bal.md.0068,﻿church,[Unnamed Institution],English,,,,﻿Charles County,﻿Charles County,﻿Pomfret,﻿Pomfret,﻿MD,﻿MD,,,,,,,﻿Rev.,﻿J. Moore,﻿S. J.,,,,,,,1843,"﻿https://en.wikipedia.org/wiki/Pomfret,_Maryland ; https://stjoepomfret.weconnect.com/",,,,﻿,﻿,﻿Baltimore,Baltimore
﻿bal.md.0073,﻿church,﻿St. Joseph's,English,,﻿near Emmitsburg,,﻿Frederick County,﻿Frederick County,﻿Emmittsburg,﻿Emmitsburg,﻿MD,﻿MD,,,,,,,﻿Rev.,﻿H. Xaupi,,,,,,,,1843,,,,,﻿,﻿,﻿Baltimore,Baltimore
﻿bal.md.0056,﻿church,[Unnamed Institution],English,,,,﻿Frederick County,﻿Carroll County,﻿Taneytown,﻿Taneytown,﻿MD,﻿MD,,,,,,,﻿Rev.,﻿Nicholas Zocchi,,,,,,,,1843,﻿https://www.stjosephtaneytown.org/,,,,﻿,﻿,﻿Baltimore,Baltimore
﻿bal.md.0057,﻿church,[Unnamed Institution],English,,,,﻿Carroll County,﻿Carroll County,﻿Westminster,﻿Westminster,﻿MD,﻿MD,,,,,﻿3d Sunday,,﻿Rev.,﻿Nicholas Zocchi,,,﻿dwelling at Taneytown,,,,,1843,,,,,﻿,﻿,﻿Baltimore,Baltimore
﻿bal.md.0107,﻿church,[Unnamed Institution],English,"﻿Post-town, Queen Ann",,,﻿Prince George County,﻿Prince George County,﻿White Marsh,﻿Bowie,﻿MD,﻿MD,,,,,,,﻿Rev.,﻿Matthew Sanders,﻿S. J.,,,,,,,1843,﻿https://sacredheartbowie.org/history-of-white-marsh-property  |  https://www.equityinhistory.org/places-to-experience/white-marsh-plantation-and-sacred-heart-roman-catholic-church-and-cemetery/,,,,﻿,﻿,﻿Baltimore,Baltimore
﻿bal.md.9004,﻿church,[Unnamed Institution],English,,,﻿Upper Charles County,﻿Charles County,﻿Charles County,﻿Zachia,﻿La Plata,﻿MD,﻿MD,,,,,,,,,,,,,,,,1843,"﻿https://freepages.rootsweb.com/~tqpeiffer/genealogy/Documents/Ancestral%20Locations%20Gallery%20-%20USA/CHARLES%20CO.,%20MD/1789ZachiahManorSurvey.jpg ; https://guide.msa.maryland.gov/pages/viewer.aspx?page=catholicchurchrecords ; https://colonialencounters.org/files/sitereports/HisLordshipsFavor-1.pdf ; https://charlescountyhistorical.org/Spring1969.pdf ; https://www.indigenousmd.info/zekiah-fort-and-zekiah-manor/ ; despite likely existing past the 1833 almanac, I cannot find information that connects this entry to later almanacs",,,,﻿,﻿,﻿Baltimore,Baltimore
